,Node_1,Node_2,Edge
673,Clostridium,Burkholderiales_noname,False
674,Clostridium,Oxalobacter,False
675,Clostridium,Parasutterella,False
676,Clostridium,Sutterella,False
677,Clostridium,Bilophila,False
678,Clostridium,Desulfovibrio,False
679,Clostridium,Enterobacter,False
680,Clostridium,Escherichia,False
681,Clostridium,Klebsiella,False
682,Clostridium,Proteus,False
683,Clostridium,Haemophilus,True
684,Clostridium,Akkermansia,False
685,Clostridium,Podoviridae_noname,False
686,Clostridium,C2likevirus,False
687,Clostridium,Siphoviridae_noname,True
688,Clostridium,Mastadenovirus,False
689,Clostridiales_noname,Bifidobacterium,False
690,Clostridiales_noname,Collinsella,False
691,Clostridiales_noname,Bacteroides,False
692,Clostridiales_noname,Bacteroidales_noname,False
693,Clostridiales_noname,Barnesiella,True
694,Clostridiales_noname,Dysgonomonas,True
695,Clostridiales_noname,Odoribacter,False
696,Clostridiales_noname,Parabacteroides,False
697,Clostridiales_noname,Paraprevotella,False
698,Clostridiales_noname,Prevotella,False
699,Clostridiales_noname,Alistipes,True
700,Clostridiales_noname,Streptococcus,False
701,Clostridiales_noname,Clostridium,False
702,Clostridiales_noname,Clostridiales_noname,False
703,Clostridiales_noname,Flavonifractor,False
704,Clostridiales_noname,Eubacterium,False
705,Clostridiales_noname,Anaerostipes,False
706,Clostridiales_noname,Blautia,False
707,Clostridiales_noname,Butyrivibrio,False
708,Clostridiales_noname,Cellulosilyticum,False
709,Clostridiales_noname,Coprococcus,False
710,Clostridiales_noname,Dorea,False
